dia mes ano hora minuto CPU RAM DISK PID
16 3 2026 21 28 7.2 11.0 219.37 14.8
16 3 2026 21 28 9.1 11.0 219.37 0.0
16 3 2026 21 28 6.0 11.0 219.37 30.0
16 3 2026 21 28 22.8 10.96 219.37 0.0
16 3 2026 21 28 30.3 10.98 219.37 15.0
16 3 2026 21 28 25.1 11.08 219.37 0.0
16 3 2026 21 28 12.7 11.08 219.37 0.0
16 3 2026 21 28 19.8 11.08 219.37 14.8
16 3 2026 21 28 9.8 11.07 219.37 14.6
16 3 2026 21 28 13.4 11.06 219.37 14.9
16 3 2026 21 28 7.7 11.06 219.37 0.0
16 3 2026 21 28 7.3 11.05 219.37 29.5
16 3 2026 21 28 16.4 11.03 219.37 0.0
16 3 2026 21 28 16.1 11.02 219.37 0.0
16 3 2026 21 28 6.4 11.02 219.37 0.0
16 3 2026 21 28 6.7 11.01 219.37 0.0
16 3 2026 21 28 4.3 11.01 219.37 14.8
16 3 2026 21 28 36.2 11.09 219.37 0.0
16 3 2026 21 29 23.8 11.09 219.37 14.9
16 3 2026 21 29 12.7 11.09 219.37 0.0
16 3 2026 21 29 12.8 11.09 219.37 0.0
16 3 2026 21 29 17.1 11.08 219.37 14.5
16 3 2026 21 29 9.4 11.1 219.37 14.7
16 3 2026 21 29 15.3 11.06 219.37 14.5
16 3 2026 21 29 9.5 11.06 219.37 14.6
16 3 2026 21 29 5.5 11.06 219.37 14.5
16 3 2026 21 29 14.0 11.06 219.37 14.2
16 3 2026 21 29 10.2 11.07 219.37 14.7
16 3 2026 21 29 9.8 11.06 219.37 0.0
16 3 2026 21 29 9.8 11.06 219.37 14.6
16 3 2026 21 29 13.3 11.05 219.37 0.0
16 3 2026 21 29 15.0 11.06 219.37 29.6
16 3 2026 21 29 14.8 11.06 219.37 14.7
16 3 2026 21 29 16.9 11.07 219.37 0.0
16 3 2026 21 29 16.8 10.37 219.37 0.0
16 3 2026 21 29 12.3 10.37 219.37 14.7
16 3 2026 21 29 13.0 10.36 219.37 0.0
16 3 2026 21 29 12.8 10.28 219.37 15.0
16 3 2026 21 29 12.4 10.29 219.37 14.7
16 3 2026 21 29 27.1 10.3 219.37 0.0
16 3 2026 21 29 22.3 10.21 219.37 15.0
16 3 2026 21 29 18.9 10.25 219.37 0.0
16 3 2026 21 29 4.9 10.25 219.37 0.0
16 3 2026 21 29 5.6 10.24 219.37 0.0
16 3 2026 21 29 1.4 10.21 219.37 0.0
16 3 2026 21 29 11.3 10.21 219.37 0.0
16 3 2026 21 30 3.7 10.2 219.37 14.9
16 3 2026 21 30 5.0 10.2 219.37 0.0
16 3 2026 21 30 2.9 10.19 219.37 0.0
16 3 2026 21 30 3.6 10.19 219.37 14.7
