idMac,usuarios,timestamp,PcpuPercent,cpu_time_user,cpu_ctx_switches,processos_pids_max_cpu,processos_names_max_cpu,processos_cpu_percent_max_cpu,total_processos,Pvirtual_memory_usage,Pdisk_read_kbps,Pdisk_percent,Pdisk_write_kbps,Pnet_kbps_recv,Pnet_packets_recv,Pnet_packets_sent,net_dropin,net_dropout,usuarios_logados,virtual_memory_status,cpu_percent_status,disk_percent_status,net_status
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:12:20,96.7,306931.79999999993,2418027,"[0, 7244, 10316, 11580, 16780]","['System Idle Process', 'msedgewebview2.exe', 'opera.exe', 'python.exe']","{'System Idle Process': 69.45, 'msedgewebview2.exe': 24.775, 'opera.exe': 35.8, 'python.exe': 23.55}",3851,92.37953738832456,144579.6,65.7,73991.7,104.56,1191,1191,0,0,14,"Alerta: 14, Normal: 0","Normal: 7, Alerta: 7","Alerta: 14, Normal: 0",normal: 14
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:13:21,45.8,66222.64,231088,[0],['System Idle Process'],{'System Idle Process': 67.05},826,80.63953004528209,15961.0,65.7,702.6,29.93,427,427,0,0,3,"Alerta: 3, Normal: 0","Normal: 3, Alerta: 0","Alerta: 3, Normal: 0",normal: 3
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:16:21,62.6,44519.43,160008,[0],['System Idle Process'],{'System Idle Process': 62.25},550,86.83412067066455,15813.6,65.7,38068.7,7.35,523,523,0,0,2,"Alerta: 2, Normal: 0","Normal: 1, Alerta: 1","Alerta: 2, Normal: 0",normal: 2
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:18:19,59.8,67189.59,429622,[0],"['python.exe', 'System Idle Process']","{'System Idle Process': 43.65, 'python.exe': 61.25}",819,82.34424183086524,13008.8,65.7,835.1,85.55,1181,1181,0,0,3,"Alerta: 3, Normal: 0","Normal: 2, Alerta: 1","Alerta: 3, Normal: 0",normal: 3
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:19:29,51.0,179589.33000000002,1112465,"[0, 13648]","['System Idle Process', 'python.exe', 'jetbrains-toolbox.exe']","{'System Idle Process': 67.225, 'jetbrains-toolbox.exe': 14.05, 'python.exe': 39.8}",2187,88.6890711051279,39820.8,65.7,3093.4,173.63,955,955,0,0,8,"Alerta: 8, Normal: 0","Normal: 6, Alerta: 2","Alerta: 8, Normal: 0",normal: 8
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:20:38,33.8,90221.37,483418,[0],['System Idle Process'],{'System Idle Process': 68.05},1099,86.75716558560764,156601.4,65.7,42888.4,12.84,683,683,0,0,4,"Alerta: 4, Normal: 0","Normal: 4, Alerta: 0","Alerta: 4, Normal: 0",normal: 4
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:43:35,100.0,3349083.54,27324218,"[0, 19364, 7244, 2884, 4, 9944, 14656, 17848, 13648, 11580, 13012, 18576]","['System Idle Process', 'msedgewebview2.exe', 'python.exe', 'Code.exe', 'opera.exe', 'MemCompression', 'Discord.exe']","{'Code.exe': 38.975, 'Discord.exe': 34.175, 'MemCompression': 31.775, 'System Idle Process': 71.325, 'msedgewebview2.exe': 26.925, 'opera.exe': 23.925, 'python.exe': 65.875}",40417,94.41047607391995,537570.9,65.7,86964.9,374.32,1953,1953,0,0,143,"Alerta: 143, Normal: 0","Normal: 72, Alerta: 71","Alerta: 143, Normal: 0",normal: 143
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:48:22,100.0,684174.8900000001,5348835,"[0, 13648, 7244, 19364, 10896, 2884]","['System Idle Process', 'python.exe', 'msedgewebview2.exe', 'Code.exe', 'opera.exe']","{'Code.exe': 22.675, 'System Idle Process': 67.75, 'msedgewebview2.exe': 26.925, 'opera.exe': 24.0, 'python.exe': 65.125}",7933,93.8563211357239,226558.0,65.7,82240.0,1059.04,1354,1354,0,0,28,"Alerta: 28, Normal: 0","Normal: 14, Alerta: 14","Alerta: 28, Normal: 0",normal: 28
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:54:31,99.3,968812.2800000001,6435156,"[10772, 0, 19364, 10896, 4, 7244, 13648]","['System Idle Process', 'python.exe', 'opera.exe', 'Discord.exe', 'msedgewebview2.exe', 'System', 'Code.exe']","{'Code.exe': 21.0, 'Discord.exe': 28.25, 'System': 21.725, 'System Idle Process': 70.875, 'msedgewebview2.exe': 29.525, 'opera.exe': 25.975, 'python.exe': 67.175}",10907,93.33946885326154,572612.6,65.7,105657.6,293.14,2000,2000,0,0,39,"Alerta: 39, Normal: 0","Normal: 25, Alerta: 14","Alerta: 39, Normal: 0",normal: 39
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:55:15,89.3,100284.56999999999,849481,"[0, 11580, 19364]","['opera.exe', 'python.exe', 'System Idle Process']","{'System Idle Process': 60.275, 'opera.exe': 16.225, 'python.exe': 64.2}",1145,93.64464569820096,92094.9,65.7,97488.6,18.03,620,620,0,0,4,"Alerta: 4, Normal: 0","Alerta: 3, Normal: 1","Alerta: 4, Normal: 0",normal: 4
4c:44:5b:f2:74:61,['muril'],21/04/2026 22:56:39,98.5,201303.59000000003,1515173,"[0, 11580, 19364]","['System Idle Process', 'python.exe', 'Code.exe', 'Discord.exe']","{'Code.exe': 21.125, 'Discord.exe': 38.85, 'System Idle Process': 66.05, 'python.exe': 54.125}",2296,95.19711173662955,67833.6,65.7,45060.7,65.77,1072,1072,0,0,8,"Alerta: 8, Normal: 0","Alerta: 5, Normal: 3","Alerta: 8, Normal: 0",normal: 8
4c:44:5b:f2:74:61,['muril'],21/04/2026 23:00:46,79.0,50956.05,346710,"[0, 14656]","['System Idle Process', 'python.exe']","{'System Idle Process': 46.625, 'python.exe': 58.575}",565,88.82682658181373,5609.8,65.7,47181.9,7.66,599,599,0,0,2,"Alerta: 2, Normal: 0","Normal: 1, Alerta: 1","Alerta: 2, Normal: 0",normal: 2
4c:44:5b:f2:74:61,['muril'],21/04/2026 23:01:03,69.3,51004.68,389669,[0],['System Idle Process'],{'System Idle Process': 69.85},567,89.84657936605068,21609.5,65.7,488.6,22.1,1146,1146,0,0,2,"Alerta: 2, Normal: 0","Alerta: 2, Normal: 0","Alerta: 2, Normal: 0",normal: 2
4c:44:5b:f2:74:61,['muril'],21/04/2026 23:02:33,100.0,230035.50999999998,1453256,"[0, 13648, 10772, 19364]","['System Idle Process', 'python.exe', 'Discord.exe']","{'Discord.exe': 38.85, 'System Idle Process': 67.05, 'python.exe': 55.225}",2545,93.71993636029862,40152.8,65.7,47796.4,60.33,1106,1106,0,0,9,"Alerta: 9, Normal: 0","Normal: 7, Alerta: 2","Alerta: 9, Normal: 0",normal: 9
4c:44:5b:f2:74:61,['muril'],21/04/2026 23:03:29,72.4,51302.229999999996,417444,[19364],"['System Idle Process', 'python.exe']","{'System Idle Process': 37.475, 'python.exe': 31.225}",563,92.24643250520133,134385.5,65.7,399.2,34.24,590,590,0,0,2,"Alerta: 2, Normal: 0","Normal: 1, Alerta: 1","Alerta: 2, Normal: 0",normal: 2
