user,id_mac,timestamp,cpu_percent,cpu_time_user,cpu_ctx_switches,processo_pid_max_cpu,processo_name_max_cpu,processo_cpu_percent_max_cpu,total_processos,virtual_memory_usage,disk_read_kbps,disk_write_kbps,disk_write_kbps,net_kbps_recv,net_packets_sent,net_packets_recv,net_errin,net_errout,net_dropin,net_dropout,usuarios_logados
vmath,00:d7:6d:20:c0:88,17/04/2026 20:35:43,11.0,26949.8,9012,0,System Idle Process,85.425,293,72.73073466876204,3.2,108.0,108.0,1.42,34,26,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:35:50,1.9,26952.58,75886,0,System Idle Process,84.0125,291,72.45833289427866,0.8,152.0,152.0,2.07,27,25,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:35:58,2.5,26955.02,70183,0,System Idle Process,84.1625,291,71.70131277756934,25.6,244.8,244.8,4.37,56,58,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:36:06,5.8,26957.0,60901,0,System Idle Process,72.35,291,71.65600233487235,0.0,16.0,16.0,0.55,20,29,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:36:13,3.3,26961.69,98597,0,System Idle Process,77.65,291,71.74135456413879,6.4,348.0,348.0,2.19,38,36,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:36:22,10.9,26965.11,69634,0,System Idle Process,70.5125,291,72.28432020980524,44.0,623.2,623.2,3.72,55,64,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:36:31,0.6,26969.92,138850,0,System Idle Process,51.525,293,73.80331052944604,228.8,4514.4,4514.4,128.71,623,820,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:36:40,28.6,26981.3,187442,0,System Idle Process,78.9625,291,72.77303095004652,546.2,784.1,784.1,173.39,610,1052,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:36:49,9.4,26984.17,120279,0,System Idle Process,78.55,289,71.85907839686801,16.8,368.0,368.0,3.87,89,103,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:36:57,22.5,26992.17,142291,0,System Idle Process,84.9,289,71.81817892209178,0.0,392.0,392.0,2.27,57,47,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:37:05,12.6,26995.78,98145,0,System Idle Process,86.5,289,71.5302897491311,6.4,168.8,168.8,1.66,26,31,0,0,0,0,1
vmath,00:d7:6d:20:c0:88,17/04/2026 20:37:13,10.0,27001.8,114303,0,System Idle Process,82.3,289,71.47292266078406,4.0,207.2,207.2,1.19,35,35,0,0,0,0,1
