Nome; Data; CPU(%); Mémoria-total; Mémoria-livre; Mémoria-used; Mémoria-free; Mémoria(%); Disco-total; Disco-used; Disco-free; Disco(%)
isa;2026-03-04 13:21:28;32.9;15.84;6.7;9.14;6.7;57.7;118.36;109.07;9.29;92.2
isa;2026-03-04 13:21:34;16.0;15.84;6.72;9.12;6.72;57.6;118.36;109.07;9.29;92.2
isa;2026-03-04 13:21:40;16.4;15.84;6.76;9.08;6.76;57.3;118.36;109.07;9.29;92.2
isa;2026-03-04 13:21:46;11.7;15.84;6.82;9.02;6.82;56.9;118.36;109.07;9.29;92.2
isa;2026-03-04 13:21:52;2.5;15.84;6.84;9.0;6.84;56.8;118.36;109.07;9.29;92.2
isa;2026-03-04 13:21:58;7.6;15.84;6.84;9.0;6.84;56.8;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:04;10.5;15.84;6.85;8.99;6.85;56.8;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:10;7.4;15.84;6.86;8.98;6.86;56.7;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:16;8.6;15.84;6.86;8.98;6.86;56.7;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:22;2.1;15.84;6.86;8.98;6.86;56.7;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:28;6.6;15.84;6.86;8.98;6.86;56.7;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:34;14.4;15.84;6.86;8.98;6.86;56.7;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:40;2.7;15.84;6.87;8.97;6.87;56.6;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:46;4.1;15.84;6.87;8.98;6.87;56.7;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:52;15.9;15.84;6.87;8.97;6.87;56.6;118.36;109.07;9.29;92.2
isa;2026-03-04 13:22:58;5.0;15.84;7.0;8.84;7.0;55.8;118.36;109.07;9.29;92.2
isa;2026-03-04 13:23:04;5.7;15.84;7.0;8.84;7.0;55.8;118.36;109.07;9.29;92.2
isa;2026-03-04 13:23:10;20.1;15.84;7.03;8.81;7.03;55.6;118.36;109.07;9.29;92.2
