user,id_mac,timestamp,cpu_percent,cpu_time_user,cpu_ctx_switches,processo_pid_max_cpu,processo_name_max_cpu,processo_cpu_percent_max_cpu,total_processos,virtual_memory_usage,disk_read_kbps,disk_write_kbps,disk_percent,net_kbps_recv,net_packets_sent,net_packets_recv,net_errin,net_errout,net_dropin,net_dropout,usuarios_logados
muril,4c:44:5b:f2:74:61,21/04/2026 22:10:03,29.7,21858.02,155687,0,System Idle Process,22.85,274,91.48207073797576,33668.4,259.5,65.7,10.66,484,296,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:10:11,17.2,21868.61,180174,0,System Idle Process,36.65,274,92.21353567494799,21426.2,243.6,65.7,7.42,525,250,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:10:19,21.8,21874.67,100896,0,System Idle Process,68.7,274,92.01468608493452,10625.0,253.3,65.7,13.47,727,320,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:10:27,25.8,21878.91,66338,0,System Idle Process,59.325,274,92.21652184555134,6153.1,231.7,65.7,11.13,645,213,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:10:36,87.8,21886.86,156577,0,System Idle Process,51.875,274,88.14690980296169,15941.9,23570.9,65.7,15.98,629,376,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:10:49,28.3,21896.08,152730,7244,msedgewebview2.exe,24.775,274,92.37953738832456,144579.6,51798.6,65.7,69.28,1191,1185,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:11:01,96.7,21914.5,308930,10316,opera.exe,35.8,277,91.70593562599437,142254.3,34552.4,65.7,78.15,826,959,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:11:11,83.1,21933.3,307441,0,System Idle Process,24.975,277,84.87925590502998,48560.4,73991.7,65.7,76.52,354,499,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:11:20,61.3,21943.25,173223,0,System Idle Process,63.975,276,90.46408028393097,43301.8,39915.6,65.7,71.43,556,814,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:11:29,44.4,21952.02,126141,0,System Idle Process,69.45,274,88.28256027414025,16453.4,235.1,65.7,8.89,181,268,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:11:39,86.0,21961.66,151410,11580,python.exe,23.55,275,87.73476930608248,48687.0,23529.6,65.7,28.26,454,408,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:11:48,41.2,21972.91,173218,0,System Idle Process,62.7,275,86.69005017745685,12805.8,18637.9,65.7,12.31,563,369,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:11:58,89.7,21985.53,136759,16780,python.exe,23.175,276,88.76377432382817,28977.7,925.2,65.7,104.56,834,774,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:12:07,61.4,22005.48,228503,0,System Idle Process,63.525,277,91.85289438257252,38174.6,4387.1,65.7,11.15,281,283,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:12:57,45.8,22066.87,20951,0,System Idle Process,26.6,276,77.78925468118956,1677.1,27.0,65.7,2.87,220,101,0,0,0,0,1
muril,4c:44:5b:f2:74:61,21/04/2026 22:13:05,42.3,22075.8,134821,0,System Idle Process,67.05,275,78.50711051278914,15961.0,702.6,65.7,8.53,427,292,0,0,0,0,1
